city,country,lat,lon
BERLIN, GERMANY, 52.31, 13.23
CHATTANOOGA, USA, 35.2, -85.16
CHICAGO, USA, 41.52, -87.37
KANSAS CITY, USA, 39.05, -94.34
PITTSBURGH, USA, 40.26, -80.00
NEW YORK CITY, USA, 40.42, -74.00
TORONTO, CANADA, 43.42, -79.24
